building_type,elemental_code,code_name,category,cost_per_sf_low,cost_per_sf_avg,cost_per_sf_high,mult_procurement_cmar,mult_procurement_hard_bid,mult_procurement_design_build,mult_procurement_csp,mult_construction_concrete,mult_construction_steel,mult_construction_mass_timber,mult_construction_wood_frame,mult_stories_1,mult_stories_2,mult_stories_3,mult_stories_4
Middle,G20,Building Demolition,Site,0.00,2.20,5.50,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,Z10,General Requirements,General,8.80,13.20,17.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Middle,Z20,Contingency / Escalation,General,11.00,16.50,22.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,A10,Foundations,Substructure,14.40,18.00,21.60,0.900,1.100,1.000,1.050,0.950,1.000,1.250,0.850,1.000,1.050,1.100,1.150
High School,A20,Basement Construction,Substructure,9.60,12.00,14.40,0.900,1.100,1.000,1.050,0.900,1.000,1.200,0.800,1.000,1.030,1.060,1.090
High School,A30,Substructure Specialties,Substructure,2.40,3.60,4.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,B10,Floor Construction,Shell,21.60,26.40,33.60,0.900,1.100,1.000,1.050,0.850,1.000,1.350,0.750,1.000,1.080,1.160,1.240
High School,B20,Roof Construction,Shell,16.80,21.60,26.40,0.900,1.100,1.000,1.050,0.900,1.000,1.300,0.800,1.000,1.050,1.100,1.150
High School,B30,Structural Frame,Shell,26.40,33.60,42.00,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
High School,B40,Structural Specialties,Shell,3.60,4.80,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
High School,C10,Exterior Walls,Enclosure,30.00,38.40,48.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
High School,C20,Exterior Windows,Enclosure,14.40,19.20,24.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
High School,C30,Exterior Doors,Enclosure,4.80,7.20,9.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,C40,Roofing,Enclosure,12.00,16.80,21.60,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
High School,C50,Exterior Specialties,Enclosure,2.40,3.60,4.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,D10,Interior Partitions,Interiors,9.60,14.40,19.20,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
High School,D20,Interior Doors,Interiors,6.00,8.40,10.80,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
High School,D30,Fittings & Specialties,Interiors,7.20,9.60,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,D40,Stairs,Interiors,4.80,7.20,9.60,0.900,1.100,1.000,1.050,0.950,1.000,1.100,0.900,1.000,1.150,1.300,1.450
High School,D50,Finishes,Interiors,18.00,24.00,30.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,E10,Plumbing,Services,14.40,19.20,24.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
High School,E20,HVAC,Services,26.40,33.60,42.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.030,1.060,1.090
High School,E30,Fire Protection,Services,7.20,9.60,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
High School,E40,Electrical,Services,21.60,28.80,36.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.050,1.100,1.150
High School,E50,Conveying Systems,Services,0.00,2.40,9.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.500,1.800,2.000
High School,F10,Fixed Equipment,Equipment,4.80,7.20,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,F20,Furnishings,Equipment,3.60,6.00,9.60,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,G10,Special Construction,Site,2.40,4.80,7.20,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,G20,Building Demolition,Site,0.00,2.40,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,Z10,General Requirements,General,9.60,14.40,19.20,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
High School,Z20,Contingency / Escalation,General,12.00,18.00,24.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,A10,Foundations,Substructure,15.00,19.00,23.00,0.900,1.100,1.000,1.050,0.950,1.000,1.250,0.850,1.000,1.050,1.100,1.150
Specialty,A20,Basement Construction,Substructure,10.00,13.00,16.00,0.900,1.100,1.000,1.050,0.900,1.000,1.200,0.800,1.000,1.030,1.060,1.090
Specialty,A30,Substructure Specialties,Substructure,3.00,4.00,5.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,B10,Floor Construction,Shell,22.00,27.00,34.00,0.900,1.100,1.000,1.050,0.850,1.000,1.350,0.750,1.000,1.080,1.160,1.240
Specialty,B20,Roof Construction,Shell,18.00,23.00,28.00,0.900,1.100,1.000,1.050,0.900,1.000,1.300,0.800,1.000,1.050,1.100,1.150
Specialty,B30,Structural Frame,Shell,28.00,35.00,44.00,0.900,1.100,1.000,1.050,0.800,1.000,1.400,0.700,1.000,1.100,1.200,1.300
Specialty,B40,Structural Specialties,Shell,4.00,5.00,6.00,0.900,1.100,1.000,1.050,1.000,1.000,1.100,0.950,1.000,1.020,1.040,1.060
Specialty,C10,Exterior Walls,Enclosure,32.00,40.00,50.00,0.900,1.100,1.000,1.050,0.950,1.000,1.150,0.900,1.000,1.030,1.060,1.090
Specialty,C20,Exterior Windows,Enclosure,15.00,20.00,25.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Specialty,C30,Exterior Doors,Enclosure,5.00,8.00,10.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,C40,Roofing,Enclosure,13.00,18.00,23.00,0.900,1.100,1.000,1.050,1.000,1.000,1.050,0.950,1.000,1.000,1.000,1.000
Specialty,C50,Exterior Specialties,Enclosure,3.00,4.00,5.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Specialty,D10,Interior Partitions,Interiors,10.00,15.00,20.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Specialty,D20,Interior Doors,Interiors,6.00,9.00,11.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.020,1.040,1.060
Specialty,D30,Fittings & Specialties,Interiors,8.00,10.00,12.00,0.900,1.100,1.000,1.050,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
